,Name,Year,Location,Country,Status,Type,city,state,state_names,avg_temp_f,avg_temp_c
0,Abernethy Bridge,1970,Oregon City (OR),USA,in use,composite,Oregon City,OR,Oregon,54.7,12.6
1,Allegheny Station Viaduct,2012,Pittsburgh (PA),USA,in use,composite,Pittsburgh,PA,Pennsylvania,51.4,10.8
2,Antioch Bridge,1978,- Antioch (CA),USA,in use,composite,Antioch,CA,California,60.7,15.9
3,Bagley Street Pedestrian Bridge,2010,Detroit (MI),USA,in use,composite,Detroit,MI,Michigan,50.3,10.2
4,Bear Creek Bridge,2011,Ouray County (CO),USA,in use,composite,Ouray County,CO,Colorado,44.3,6.8
5,Bill Emerson Memorial Bridge,2003,Cape Girardeau (MO),USA,in use,composite,Cape Girardeau,MO,Missouri,56.9,13.8
6,Blackwell Interchange Bridge,1967,Conway County (AR),USA,in use,composite,Conway County,AR,Arkansas,60.5,15.8
7,BP Pedestrian Bridge,2004,Chicago (IL),USA,in use,composite,Chicago,IL,Illinois,49.9,9.9
8,Cal Park Hill Pathway Bridge,2016,Larkspur (CA),USA,in use,composite,Larkspur,CA,California,59.4,15.2
9,Captain John Bissell Memorial Bridge,1957,Windsor (CT),USA,in use,composite,Windsor,CT,Connecticut,49.0,9.4
10,Chaska Bridge,2007,Chaska (MN),USA,in use,composite,Chaska,MN,Minnesota,45.4,7.4
11,Chihuly Bridge of Glass,2002,Tacoma (WA),USA,in use,composite,Tacoma,WA,Washington,53.5,11.9
12,Delta Ponds Pedestrian Bridge,2010,Eugene (OR),USA,in use,composite,Eugene,OR,Oregon,52.5,11.4
13,Dexter Coffin Jr. Bridge,1959,- Windsor Locks (CT),USA,in use,composite,Windsor Locks,CT,Connecticut,48.0,8.9
14,Dublin Link,2020,Dublin (OH),USA,in use,composite,Dublin,OH,Ohio,52.1,11.2
15,East Fork White River Bridge,2002,Columbus (IN),USA,in use,composite,Columbus,IN,Indiana,53.5,11.9
16,East Huntington Bridge,1985,Huntington (WV),USA,in use,composite,Huntington,WV,West Virginia,55.3,12.9
17,Father Louis Hennepin Bridge,1990,Minneapolis (MN),USA,in use,composite,Minneapolis,MN,Minnesota,46.3,7.9
18,Fisher's Bridge,1996,Mount Pleasant (MI),USA,in use,composite,Mount Pleasant,MI,Michigan,47.4,8.6
19,Fort Duquene Bridge North Approach Viaducts,1970,Pittsburgh (PA),USA,in use,composite,Pittsburgh,PA,Pennsylvania,51.4,10.8
20,Governor Mario M. Cuomo Bridge,2018,- Nyack (NY),USA,in use,composite,Nyack,NY,New York,45.4,7.4
21,High Road Bridge,2008,Lockport Township (IL),USA,in use,composite,Lockport Township,IL,Illinois,50.3,10.2
22,Huron Parkway Bridge,1968,Ann Arbor (MI),USA,in use,composite,Ann Arbor,MI,Michigan,48.8,9.3
23,I-94 Saint Croix River Bridge,1995,Hudson (WI),USA,in use,composite,Hudson,WI,Wisconsin,43.1,6.2
24,I-95 Androscoggin River Bridge,1955,Lewiston (ME),USA,in use,composite,Lewiston,ME,Maine,45.4,7.4
25,Igor I. Sikorsky Memorial Bridge,2003,Stratford (CT),USA,in use,composite,Stratford,CT,Connecticut,52.0,11.1
26,Interstate 95 Brandywine Creek Bridge,1968,Wilmington (DE),USA,in use,composite,Wilmington,DE,Delaware,54.4,12.4
27,James D. Pfluger Pedestrian Bridge,2001,Austin (TX),USA,in use,composite,Austin,TX,Texas,68.5,20.3
28,John Greenleaf Whittier Bridge,2018,- Amesbury (MA),USA,in use,composite,Amesbury,MA,Massachusetts,47.9,8.8
29,John V. Tunney Bridge,2015,Los Angeles (CA),USA,in use,composite,Los Angeles,CA,California,64.9,18.3
30,Joshua Chamberlain Bridge,1959,Bangor (ME),USA,in use,composite,Bangor,ME,Maine,44.3,6.8
31,Kellog Central Business District Viaduct,1996,Wichita (KS),USA,in use,composite,Wichita,KS,Kansas,57.0,13.9
32,Leonard P. Zakim Bunker Hill Memorial Bridge,2003,Boston (MA),USA,in use,composite,Boston,MA,Massachusetts,51.3,10.7
33,Leverett Circle Connector Bridge,1999,Boston (MA),USA,in use,composite,Boston,MA,Massachusetts,51.3,10.7
34,Liberty Bridge,2004,Greenville (SC),USA,in use,composite,Greenville,SC,South Carolina,60.3,15.7
35,Lloyd Spriggle Memorial Bridge,1960,Red Wing (MN),USA,in use,composite,Red Wing,MN,Minnesota,37.3,2.9
36,Mifflinville Bridge,1992,Mifflinville (PA),USA,in use,composite,Mifflinville,PA,Pennsylvania,48.8,9.3
37,Moses Wheeler Bridge,1958,- Milford (CT),USA,demolished,composite,Milford,CT,Connecticut,44.5,6.9
38,Moses Wheeler Bridge,2016,- Milford (CT),USA,in use,composite,Milford,CT,Connecticut,44.5,6.9
39,Mud Fork River Bridge,1996,Logan (WV),USA,in use,composite,Logan,WV,West Virginia,51.8,11.0
40,New Hope-Lambertville Route 202 Toll Bridge,1971,Lambertville (NJ),USA,in use,composite,Lambertville,NJ,New Jersey,53.0,11.7
41,O'Connell Bridge,1971,Sitka (AK),USA,in use,composite,Sitka,AK,Alaska,43.0,6.1
42,Old Chaska Bridge,1960,Chaska (MN),USA,demolished,composite,Chaska,MN,Minnesota,45.4,7.4
43,Patton Bridge,1950,Auburn (WA),USA,in use,composite,Auburn,WA,Washington,48.3,9.1
44,Pioneer Memorial Bridge,1967,Sacramento (CA),USA,in use,composite,Sacramento,CA,California,61.0,16.1
45,Portland Street Overpass,1944,Saint Johnsbury (VT),USA,in use,composite,Saint Johnsbury,VT,Vermont,42.0,5.6
46,Regional Transportation District Footbridge,2010,Broomfield (CO),USA,in use,composite,Broomfield,CO,Colorado,52.4,11.3
47,Roscoe State Aid Bridge,1935,Roscoe (NE),USA,out of service,composite,Roscoe,NE,Nebraska,48.8,9.3
48,Sacramento River Bridge (I-5),1970,- Sacramento County (CA),USA,in use,composite,Sacramento County,CA,California,61.0,16.1
49,San Diego-Coronado Bay Bridge,1969,San Diego (CA),USA,in use,composite,San Diego,CA,California,63.6,17.6
50,San Martin Drive Bridge,2005,Baltimore (MD),USA,in use,composite,Baltimore,MD,Maryland,55.1,12.8
51,Spencer Bridge,2006,Klamath County (OR),USA,in use,composite,Klamath County,OR,Oregon,48.4,9.1
52,Thompson's Bridge,1935,Wilmington (DE),USA,in use,composite,Wilmington,DE,Delaware,54.4,12.4
53,Trenton-Morrisville Route 1 Toll Bridge,1952,Trenton (NJ),USA,in use,composite,Trenton,NJ,New Jersey,54.0,12.2
54,United States Naval Academy Bridge,1995,Annapolis (MD),USA,in use,composite,Annapolis,MD,Maryland,56.5,13.6
55,Vermillion-Newcastle Bridge,2001,Vermillion (SD),USA,in use,composite,Vermillion,SD,South Dakota,48.0,8.9
56,Veterans Memorial Bridge,1990,Weirton (WV),USA,in use,composite,Weirton,WV,West Virginia,52.8,11.6
57,Veterans Memorial Bridge,1997,Beverly (MA),USA,in use,composite,Beverly,MA,Massachusetts,47.9,8.8
58,Veterans Memorial Bridge,1981,Ottawa (IL),USA,in use,composite,Ottawa,IL,Illinois,50.7,10.4
59,Whites Hill Sidehill Viaduct,2002,Marin County (CA),USA,in use,composite,Marin County,CA,California,59.4,15.2
60,William H. Harsha Bridge,2000,Maysville (KY),USA,in use,composite,Maysville,KY,Kentucky,55.6,13.1
61,Forrest & Maxie Preston Memorial Suspension Bridge,1999,River (KY),USA,in use,composite,River,KY,Kentucky,55.6,13.1
62,Pine Barrens Bridge,2002,Wharton State Forest (NJ),USA,in use,composite,Wharton State Forest,NJ,New Jersey,50.6,10.3
63,15th Street Overpass (York Subway),1938,York (NE),USA,in use,concrete,York,NE,Nebraska,50.4,10.2
64,17th Street Causeway Bridge,2002,Fort Lauderdale (FL),USA,in use,concrete,Fort Lauderdale,FL,Florida,76.1,24.5
65,21st Street Bridge,1932,Tulsa (OK),USA,demolished,concrete,Tulsa,OK,Oklahoma,60.8,16.0
66,26th Street Los Angeles River Bridge,1926,Vernon (CA),USA,in use,concrete,Vernon,CA,California,59.4,15.2
67,Acosta Bridge,1994,Jacksonville (FL),USA,in use,concrete,Jacksonville,FL,Florida,68.6,20.3
68,Adams Avenue Bridge,1970,San Diego (CA),USA,in use,concrete,San Diego,CA,California,63.6,17.6
69,Adkisson Bridge,1925,Wasco County (OR),USA,in use,concrete,Wasco County,OR,Oregon,50.6,10.3
70,Alameda Street Bridge,2001,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
71,Alexander Avenue Bridge,1925,Larkspur (CA),USA,in use,concrete,Larkspur,CA,California,59.4,15.2
72,Allegheny River Turnpike Bridge,2010,Harmar (PA),USA,in use,concrete,Harmar,PA,Pennsylvania,48.8,9.3
73,Alsea Bay Bridge,1991,Waldport (OR),USA,in use,concrete,Waldport,OR,Oregon,51.5,10.8
74,Alsea Bay Bridge,1936,Waldport (OR),USA,demolished,concrete,Waldport,OR,Oregon,51.5,10.8
75,Alvord Lake Bridge,1889,San Francisco (CA),USA,in use,concrete,San Francisco,CA,California,57.3,14.1
76,American Legion Memorial Bridge,1930,Traverse City (MI),USA,in use,concrete,Traverse City,MI,Michigan,45.4,7.4
77,Andrew J. Sullivan Memorial Bridge,1928,Williamsburg (KY),USA,in use,concrete,Williamsburg,KY,Kentucky,55.9,13.3
78,Angeles Crest Highway La Canada Canyon Bridge,1930,Los Angeles County (CA),USA,in use,concrete,Los Angeles County,CA,California,59.4,15.2
79,Angels Creek Bridge,1909,Murphys (CA),USA,in use,concrete,Murphys,CA,California,49.4,9.7
80,Ann W. Richards Congress Avenue Bridge,1910,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
81,Anoka-Champlin Bridge,1929,Anoka (MN),USA,in use,concrete,Anoka,MN,Minnesota,46.0,7.8
82,Arlington Memorial Bridge,1932,Washington,USA,in use,concrete,Washingto,WA,Washington,48.3,9.1
83,Arroyo Quemado Bridge,1916,Santa Barbara (CA),USA,in use,concrete,Santa Barbara,CA,California,57.7,14.3
84,Arsenal Street Bridge,1925,- Watertown (MA),USA,in use,concrete,Watertown,MA,Massachusetts,47.9,8.8
85,Arthur J. DiTommaso Memorial Bridge,2003,Fitchburg (MA),USA,in use,concrete,Fitchburg,MA,Massachusetts,47.9,8.8
86,Asaga Strait Bridge,1979,Ofu Island (AS),USA,in use,concrete,Ofu Island,AS,American Samoa,81.2,27.3
87,Ash Avenue Bridge,1913,Tempe (AZ),USA,demolished,concrete,Tempe,AZ,Arizona,68.8,20.4
88,Ashtabula Viaduct,1928,Ashtabula (OH),USA,demolished,concrete,Ashtabula,OH,Ohio,49.2,9.6
89,Atlantic Boulevard Bridge,1931,Vernon (CA),USA,in use,concrete,Vernon,CA,California,59.4,15.2
90,Avenue 26 Bridge,1939,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
91,Avenue 60 Bridge,1909,Los Angeles (CA),USA,in use,concrete,Los Angeles,CA,California,64.9,18.3
92,Avis Overhead Bridge,1929,Hinton (WV),USA,out of service,concrete,Hinton,WV,West Virginia,53.5,11.9
93,Bailey Island Bridge,1928,Harpswell (ME),USA,in use,concrete,Harpswell,ME,Maine,41.0,5.0
94,Barton Creek Boulevard Bridge,1987,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
95,Barton Springs Bridge,1926,Austin (TX),USA,in use,concrete,Austin,TX,Texas,68.5,20.3
96,Bay Saint Louis Bridge,2007,Hancock County (MS),USA,in use,concrete,Hancock County,MS,Mississippi,63.4,17.4
97,Bayview Bridge,1986,Quincy (IL),USA,in use,concrete,Quincy,IL,Illinois,52.7,11.5
98,Belle Isle Pedestrian Bridge,1991,Richmond (VA),USA,in use,concrete,Richmond,VA,Virginia,58.9,14.9
99,Belleview Bridge,1915,Belleair (FL),USA,in use,concrete,Belleair,FL,Florida,70.7,21.5
100,Belton Bridge,1920,Flathead County (MT),USA,out of service,concrete,Flathead County,MT,Montana,42.7,5.9
101,Benicia Martinez Bridge,2007,Martinez (CA),USA,in use,concrete,Martinez,CA,California,59.2,15.1
102,Bennington Bridge,1928,Ottawa County (KS),USA,demolished,concrete,Ottawa County,KS,Kansas,55.0,12.8
103,Benson Street Bridge,1910,Hamilton County (OH),USA,in use,concrete,Hamilton County,OH,Ohio,39.3,4.1
104,Berkeley I-80 Pedestrian Overcrossing,2002,Berkeley (CA),USA,in use,concrete,Berkeley,CA,California,57.1,13.9
105,Betts Bridge,2006,Salmon Creek (WA),USA,in use,concrete,Salmon Creek,WA,Washington,48.3,9.1
106,Big Blue River Bridge,1918,Grafton (NE),USA,in use,concrete,Grafton,NE,Nebraska,48.8,9.3
107,Big Chickies Bridge,1916,Lancaster Junction (PA),USA,demolished,concrete,Lancaster Junction,PA,Pennsylvania,52.2,11.2
108,Big Conestoga Creek Bridge No. 12,1917,Brownstown (PA),USA,in use,concrete,Brownstown,PA,Pennsylvania,50.0,10.0
109,Big Creek Bridge,1937,Lucia (CA),USA,in use,concrete,Lucia,CA,California,59.4,15.2
110,Big Creek Bridge,1931,Lane County (OR),USA,in use,concrete,Lane County,OR,Oregon,48.4,9.1
111,Big Soldier Creek Bridge,1922,Grove (KS),USA,in use,concrete,Grove,KS,Kansas,54.3,12.4
112,Bixby Creek Bridge,1933,Carmel-by-the-Sea (CA),USA,in use,concrete,Carmel-by-the-Sea,CA,California,59.4,15.2
113,BNSF 6th Street Viaduct,1907,Vancouver (WA),USA,in use,concrete,Vancouver,WA,Washington,52.4,11.3
114,Boatlanding Bridge,1911,Jamestown (NY),USA,demolished,concrete,Jamestown,NY,New York,48.0,8.9
